Pennant Sector,Scale,EBITDAMarginMin,EBITDAMarginMax
Electricity Generation,Small,45.02,86.24
Electricity Transmission & Distribution Industry,Large,4.57,16.37
Electricity Transmission & Distribution Industry,Medium,16.41,90
Electricity Transmission & Distribution Industry,Small,25.53,90
Engines Industry,Large,11.33,14.44
Engines Industry,Medium,9.82,15.09
Engines Industry,Small,5,7.88
Ferro Alloys,Large,13.08,35.66
Ferro Alloys,Medium,5.42,16.38
Ferro Alloys,Small,1.88,14.78
Fertilisers,Large,6.74,15.91
Fertilisers,Medium,5.63,15.09
Fertilisers,Small,4,14.53
Footware ,Large,7.4,13.1
Footware ,Medium,0.04,11.02
Footware ,Small,2.31,22.29
Gems & Jewellery,Large,3.65,7.68
Gems & Jewellery,Medium,3.12,10.06
Gems & Jewellery,Small,2.35,13
General Purpose Machinery,Large,10.19,18.68
General Purpose Machinery,Medium,8.22,21.24
General Purpose Machinery,Small,4.23,18
"Generators, Transformers & Switchgears",Large,7.93,16.67
"Generators, Transformers & Switchgears",Medium,4.41,13.24
"Generators, Transformers & Switchgears",Small,1,12.5
Granite ,Large,16.54,24.4
Granite ,Medium,4.75,12.34
Granite ,Small,1.81,17.47
Healthcare Services,Large,15.64,27.13
Healthcare Services,Medium,8.82,23.45
Healthcare Services,Small,2,23.84
Hotels & Restaurants,Large,3.4,25.93
Hotels & Restaurants,Medium,1,23.17
Hotels & Restaurants,Small,1,35.67
Housing Construction,Large,8.23,38.76
Housing Construction,Medium,6.24,41.97
Housing Construction,Small,1,36.75
Industrial Construction,Large,7.27,19.29
Industrial Construction,Medium,5.15,17.57
Industrial Construction,Small,2.19,26.17
Industrial Machinery,Large,10.21,19.27
Industrial Machinery,Medium,7.44,17.55
Industrial Machinery,Small,0.96,14.31
Infrastructural Construction,Large,8.43,20.19
Infrastructural Construction,Medium,7.94,39.64
Infrastructural Construction,Small,6.55,86.01
Inorganic Chemicals ,Large,16.55,35.62
Inorganic Chemicals ,Medium,11.89,25.68
Inorganic Chemicals ,Small,8.24,23.48
IT Enabled Services,Large,19.43,30.23
IT Enabled Services,Medium,13.2,27.81
IT Enabled Services,Small,5.54,29.56
Leather,Large,3.45,10.39
Leather,Medium,1,10.21
Leather,Small,3,14.27
Machine Tools,Large,7.89,23.28
Machine Tools,Medium,10.39,25.83
Machine Tools,Small,8.31,22.45
Man-made Filaments & Fibres Industry,Large,7.39,13.87
Man-made Filaments & Fibres Industry,Medium,6.95,14.44
Man-made Filaments & Fibres Industry,Small,4.4,15.12
